x y
-45.52539600000014 -77.10192000000032
-41.046935999999725 -82.52369999999993
-26.098631999999586 -98.32754400000007
-19.71328799999995 -104.67214800000049
-14.434056000000341 -109.63251600000059
-9.035040000000551 -116.78461199999998
-3.3245519999998976 -118.74567600000029
-3.3245519999998976 -118.74567600000029
4.52314800000039 -130.05476399999998
2.8600320000004733 -171.5831040000001
-3.800999999999647 -220.95561600000042
-12.532548000000672 -251.17906800000043
-23.222472000000444 -284.40174000000036
-17.551128000000034 -310.01082000000036
-17.551128000000034 -310.01082000000036
-17.551128000000034 -310.01082000000036
-17.551128000000034 -310.01082000000036
6.185340000000252 -315.5479320000001
6.185340000000252 -315.5479320000001
6.185340000000252 -315.5479320000001
18.113676000000254 -292.91942400000056
27.90446400000027 -282.9987720000001
46.00671600000013 -281.8452
52.43758800000001 -259.46600400000005
61.745040000000365 -242.39325600000026
71.14984800000022 -224.85909599999974
71.14984800000022 -224.85909599999974
71.14984800000022 -224.85909599999974
74.91212400000035 -214.4439360000004
68.40237600000026 -186.75837600000014
59.11491600000015 -160.91854800000013
58.10918400000037 -114.77600399999973
41.97337199999978 -114.31459200000023
26.007995999999817 -71.40193200000061
25.753895999999738 -26.64370799999975
29.56287600000073 21.344651999999453
43.742327999999866 65.1800519999995
43.742327999999866 65.1800519999995
43.742327999999866 65.1800519999995
43.742327999999866 65.1800519999995
43.742327999999866 65.1800519999995
43.742327999999866 65.1800519999995
43.742327999999866 65.1800519999995
43.742327999999866 65.1800519999995
43.742327999999866 65.1800519999995
40.456331999999925 60.565763999999426
37.673243999999755 49.95303599999993
35.900927999999794 40.72445999999979
29.3091119999998 26.42026799999985
21.685943999999644 21.344651999999453
5.105940000000231 2.42617199999944
-5.39691599999972 -4.956671999999884
-14.647499999999807 -22.490832000000378
-21.087191999999504 -35.410788000000004
-31.417596000000344 -52.022124000000275
-45.52539600000014 -77.10192000000032
